Date,Simulated Storage
20140324,0
20140325,0
20140326,0
20140327,0
20140328,0
20140329,0
20140330,0
20140331,0
20140401,0
20140402,0
20140403,0
20140404,0
20140405,0
20140406,0
20140407,0
20140408,0
20140409,0
20140410,0
20140411,0
20140412,0
20140413,0
20140414,0
20140415,0
20140416,0
20140417,0
20140418,0
20140419,1.030128828
20140420,1.256848989
20140421,1.318649655
20140422,1.330656642
20140423,1.327125175
20140424,1.318649655
20140425,1.308408402
20140426,1.301698615
20140427,1.297460855
20140428,1.276625202
20140429,1.244842002
20140430,1.214471389
20140501,1.174212669
20140502,1.206702162
20140503,1.625180963
20140504,1.674621496
20140505,1.647782349
20140506,1.600107549
20140507,1.545722963
20140508,1.521002696
20140509,3.644473606
20140510,4.004683206
20140511,4.100032807
20140512,4.10709574
20140513,4.089438407
20140514,4.07531254
20140515,4.057655207
20140516,4.036466407
20140517,4.018809073
20140518,4.004683206
20140519,3.987025873
20140520,3.972900006
20140521,3.962305606
20140522,3.94817974
20140523,3.93758534
20140524,3.92699094
20140525,3.91639654
20140526,3.902270673
20140527,3.881081873
20140528,3.85283014
20140529,3.86342454
20140530,3.849298673
20140531,3.99055734
20140601,4.00115174
20140602,3.987025873
20140603,3.99055734
20140604,3.972900006
20140605,3.951711206
20140606,3.930522406
20140607,3.909333606
20140608,3.88461334
20140609,3.859893073
20140610,3.835172806
20140611,3.813984006
20140612,3.789263739
20140613,3.768074939
20140614,3.743354673
20140615,3.718634406
20140616,3.693914139
20140617,3.669193873
20140618,3.648005073
20140619,3.877550406
20140620,4.078844007
20140621,4.110627207
20140622,4.110627207
20140623,4.100032807
20140624,4.08590694
20140625,4.071781073
20140626,4.05412374
20140627,4.07531254
20140628,4.100032807
20140629,4.124753073
20140630,4.14947334
20140701,4.174193607
20140702,4.20244534
20140703,4.230697074
20140704,4.25541734
20140705,4.28720054
20140706,4.34017254
20140707,4.37195574
20140708,4.407270407
20140709,4.439053607
20140710,4.470836807
20140711,4.559123474
20140712,4.647410141
20140713,4.813389074
20140714,5.226570675
20140715,5.470241876
20140716,5.925801076
20140717,6.434332277
20140718,6.667409077
20140719,7.183003212
20140720,7.903422413
20140721,8.422548014
20140722,9.022897348
20140723,9.715064816
20140724,10.52377068
20140725,10.83453975
20140726,11.03583335
20140727,11.20181228
20140728,11.43842055
20140729,11.74212669
20140730,11.95048322
20140731,12.47667175
20140801,13.19002802
20140802,13.79037736
20140803,14.09761496
20140804,14.40838402
20140805,15.00873336
20140806,15.68677496
20140807,16.58729896
20140808,16.96869736
20140809,17.27240349
20140810,17.55492083
20140811,17.83743816
20140812,18.12701843
20140813,18.41306723
20140814,18.7026475
20140815,18.9992907
20140816,19.29240243
20140817,19.58551417
20140818,19.89275177
20140819,20.4613179
20140820,20.88156243
20140821,21.34771603
20140822,21.70792564
20140823,22.0504779
20140824,22.36477844
20140825,22.68967337
20140826,23.00750537
20140827,23.32886884
20140828,23.5125051
20140829,23.5125051
20140830,23.5125051
20140831,23.5125051
20140901,23.5125051
20140902,23.5125051
20140903,23.5125051
20140904,23.5125051
20140905,23.5125051
20140906,23.47719044
20140907,23.47719044
20140908,23.48425337
20140909,23.47719044
20140910,23.47719044
20140911,23.47719044
20140912,23.47719044
20140913,23.47719044
20140914,23.47719044
20140915,23.47719044
