Date,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30
30-05-20,4.363297939,4.215293884,4.002918243,3.923169851,4.075015545,3.948737144,3.92946291,3.764821053,3.681921482,3.552627563,3.573230743,3.488135576,3.781089783,3.679164886,3.557163954,3.472030163,3.623771667,4.127999783,4.388237953,4.460264683,4.21733284,3.89428854,3.614064455,3.513638258,3.083262205,2.728937387,3.532681942,5.185305595,5.852701187,5.14928484
31-05-20,6.649162292,6.517603397,6.419411182,6.545098305,7.177785873,6.993385792,6.958484173,6.567009449,6.439448357,6.027035236,5.894200325,5.378764629,5.922559261,5.540985584,4.900254726,4.321695805,4.130901337,4.796322346,5.772454739,6.084983349,5.533267975,4.408763885,4.469964504,5.392191887,4.388041019,3.099673748,7.714046955,13.02363396,15.09436607,12.86195755
01-06-20,7.233459949,7.025260448,6.608640194,6.352721214,6.579594612,6.347772598,6.625213623,6.47655344,6.459424019,6.26179409,6.384119987,6.118805408,6.738801003,6.404398441,5.808148384,5.080591202,4.484603405,4.084955215,3.95515871,3.86564374,3.616869926,3.301182032,3.268441439,3.398460865,3.180662155,2.890530586,3.904266119,5.750607491,6.478113651,5.641735554
02-06-20,18.00896263,20.19185448,20.57889175,17.89675903,14.46562099,11.62256432,9.558802605,7.909394741,7.342213154,7.179744244,7.260053635,6.685525894,7.314477921,6.93421793,6.171733379,5.278301239,4.196204185,2.982233524,3.59455204,4.747190475,5.112370014,5.043432236,4.609165192,4.144667625,3.952265739,4.164557934,4.9108634,6.010163307,6.039272308,4.830356598
03-06-20,11.11017132,11.06379509,10.95100307,10.70577526,10.77213955,10.51750946,10.49376488,10.12837219,10.22925282,9.738915443,9.637875557,8.809494019,9.161077499,8.447527885,7.447274208,6.315680504,5.603209496,5.315830708,5.443595886,5.366336346,5.41032505,5.243270874,5.108801365,4.787992954,4.411752701,3.830805302,3.900584698,4.735104084,5.159336567,4.57195282
04-06-20,24.43966103,26.87268066,27.35900116,24.19448853,20.31752396,17.39023018,15.31941795,14.00033092,14.66891479,14.70892906,14.52994919,12.46665287,11.98177052,11.064188,10.39939594,9.652841568,10.29105568,12.95352459,16.05640221,18.34989357,18.98604584,17.89647484,15.52314472,13.04414368,11.40513992,10.27991009,9.097360611,7.921385288,6.478888988,5.234931469
05-06-20,16.51149368,16.55872536,16.86078072,16.82008362,16.80194473,16.53799248,15.99031544,15.36603642,15.54262924,14.84363651,14.35332966,12.705019,12.1687727,11.11708355,9.957315445,8.777933121,9.849075317,12.5249157,15.6510067,17.43607903,18.20171165,16.94092941,14.76696587,12.38899708,10.52255726,8.272685051,6.36269331,4.880315304,4.567878246,4.603599548
06-06-20,17.43475151,17.30606651,17.25420189,16.97364616,16.96308708,16.62693787,16.24235153,15.53164768,15.62784958,14.81795216,14.38616276,13.12768555,13.32691669,12.45091343,11.11846161,9.363219261,8.642726898,8.707839966,9.329767227,9.393834114,9.998224258,10.43088627,10.75728035,10.29955864,9.241317749,7.162349701,5.863266468,5.477836132,5.611249447,5.470800877
07-06-20,19.81742096,19.2408638,18.82266808,18.3231163,18.13464355,17.69593239,17.13307953,16.31450462,16.50071335,15.68120193,15.14638042,13.76724052,14.20316124,13.83458519,12.46736813,9.915770531,9.901932716,12.4326458,15.36971569,17.16342163,18.14036751,17.72322845,16.19666481,14.23123932,12.24582863,9.339885712,6.909276009,5.6492033,5.827023506,6.185504436
08-06-20,19.41324425,18.66115379,18.25741768,17.97956085,18.86556244,19.91041183,21.30656242,19.77680779,18.03826714,17.04367447,17.53559685,16.66653252,19.31968689,20.171278,16.41052628,10.26471996,14.27356529,20.98505783,23.5801754,28.26533318,39.14381409,51.68165207,56.58216858,54.65438461,48.17909241,36.24833679,24.37483025,12.68884087,6.052101135,14.02825451
09-06-20,15.66283607,14.7965126,14.49984074,13.69532013,11.74776363,11.8737154,13.41072369,13.15493584,14.13593674,15.47177124,15.24816418,14.80104065,16.87518692,19.8700161,18.3934021,13.33235931,16.74513245,24.45789719,24.46362877,22.14345932,27.90585709,42.42588806,50.72711563,51.57820129,46.60374832,35.02303314,22.69788551,10.15066624,5.481066704,16.75730896
10-06-20,11.09058952,10.88193893,10.95636654,10.41060734,9.626335144,10.53829765,12.08531857,10.34639835,8.857897758,8.859027863,8.097270012,7.914095879,11.64699078,14.27749538,11.11061001,5.111409664,13.41018295,19.75106239,14.95126915,4.354423523,17.88825989,37.01322556,46.68660736,47.99383926,43.14129639,32.16057205,20.80264854,9.329236984,4.613550186,15.11736965
11-06-20,10.99623394,10.73159981,10.75612545,10.25834846,9.330272675,10.60530567,13.47263908,15.47900581,17.50509644,18.10498619,17.16237259,16.19902229,16.74424934,17.04345131,14.06246853,10.30933857,14.67505455,19.15156174,14.94458485,6.219773293,14.76628113,30.84516144,39.08242798,40.23869705,36.16784668,26.89470291,17.28563118,7.778686523,4.91723156,13.54974747
12-06-20,13.76997185,13.65700436,13.75674248,13.56493187,13.50405312,13.66638279,13.690238,12.659091,12.12395859,11.41211605,11.01463604,10.28809834,11.44413185,11.86209011,9.945002556,7.110978127,9.769339561,13.27934933,12.06011963,9.096622467,12.22941303,20.25451851,25.0202198,25.68479919,23.10894394,17.06991196,11.23121738,5.554119587,3.571751118,8.714466095
13-06-20,14.3466301,14.45046139,14.77411842,14.69584179,14.56989193,14.38366222,13.71211243,13.01662064,13.09398174,12.29676437,11.74726868,10.56508827,10.17010403,9.26747036,8.334764481,7.240065098,6.730194569,6.588216782,7.07212019,6.942111969,7.414087772,7.433578491,7.736320496,7.404007912,6.586283207,4.881996155,3.582676649,2.568273783,2.808511019,3.73338151
14-06-20,14.46430302,14.80909538,15.10573387,14.70808315,14.31741619,13.98839283,13.353899,12.6893692,12.82903481,12.11909103,11.63774586,10.45953655,10.1679554,9.297034264,8.314878464,7.109649658,6.492724419,6.32272768,6.894013405,6.991380215,7.693519592,8.060488701,8.517755508,8.215976715,7.354485512,5.601593018,4.264103889,3.087414026,2.898107052,3.576225758
15-06-20,23.70271873,25.93906403,26.53311729,23.94412422,20.60806656,18.02939224,15.57886505,13.65726852,13.12189484,12.33417797,11.80454826,10.60325527,10.2783556,9.551799774,8.760197639,7.88609457,7.195232391,6.497107983,7.125597,7.652641773,8.334012032,8.40228653,8.473600388,7.988809586,7.165360928,5.795888901,4.854423523,3.790673256,2.971340656,3.134053469
16-06-20,22.96541595,24.09919739,24.66270065,23.486063,20.90346909,18.83883667,16.51292801,14.65735149,14.38694668,13.57709789,13.00531864,11.99361229,11.37023544,10.22950363,9.015439987,7.910759449,7.41604948,7.313951969,7.962642193,8.201469421,8.615694046,8.539605141,8.538303375,7.972873211,7.153173923,5.875212193,4.736954212,3.370320559,2.626464605,3.05355525
17-06-20,13.94445801,14.02869701,14.3177433,14.25317478,14.13605499,13.88833809,13.17575455,12.43636322,12.47962666,11.73135948,11.22322273,10.13175488,9.781787872,8.926181793,8.025561333,6.960446835,6.434000969,6.230906963,6.650321007,6.524755001,6.97084713,6.960162163,7.258093357,6.976425171,6.235682011,4.667005539,3.487868309,2.234234571,2.064768314,2.884458065
18-06-20,14.51882648,14.81563759,15.17432022,14.90394974,14.65606976,14.58054543,14.11250019,13.03512859,12.61587429,11.86456013,11.44116116,10.6493187,11.0752697,11.03911304,9.530158997,7.244084358,8.067676544,9.750712395,8.590937614,6.894776821,11.01760292,17.88304329,21.74176407,22.09263611,19.82057762,14.78078938,9.659225464,4.16302824,1.938082457,7.076263428
19-06-20,13.59414005,13.69587135,14.03668213,14.04566383,13.9107914,13.57743549,12.66769791,11.79930019,11.7970438,11.09476185,10.59850216,9.596308708,9.194911003,8.387788773,7.571907043,6.6339221,6.231312275,6.172546387,6.642291069,6.598795414,7.060604572,7.038578987,7.276199818,6.958075047,6.194374084,4.681201458,3.469933033,1.946814537,1.568880677,2.601662159
20-06-20,12.07262039,12.11531639,12.38196564,12.36741543,12.27932739,12.11698532,11.40782833,10.75572681,10.71219254,10.04282951,9.49443531,8.625109673,8.232946396,7.615411282,7.097945213,6.539246082,6.577983856,7.059537411,7.629309654,7.603794098,7.826264858,7.666069984,7.540828228,6.975986004,6.175954342,4.938045502,3.807645082,2.767686367,2.563153982,2.942194462
21-06-20,5.484602451,5.517916679,5.62505579,5.586493015,5.544259548,5.465128422,5.226374626,4.964249611,4.993026733,4.69320631,4.494490623,4.046346664,3.916906595,3.570090294,3.200927734,2.765115738,2.545065403,2.453412056,2.619947433,2.564831495,2.737131119,2.731745243,2.849208355,2.738080978,2.448123455,1.822506428,1.369072437,0.956507266,0.951540351,1.239992499
22-06-20,5.820102215,5.852827549,5.965171337,5.909126282,5.838738918,5.767928123,5.555405617,5.265326023,5.296761036,4.997012615,4.788107395,4.303519726,4.25011301,3.966559887,3.490535259,2.920335293,3.002473354,3.315985203,3.234824657,2.873226404,3.508495331,4.791599751,5.61796093,5.638548851,5.040157318,3.748298883,2.510215044,1.552139163,1.605676532,2.360743284
23-06-20,2.742141008,2.716469049,2.679508924,2.628736019,2.656678915,2.59579134,2.584465742,2.491350174,2.502603531,2.384518862,2.353326797,2.172087908,2.268346548,2.109438419,1.880447149,1.617795229,1.456897855,1.384737253,1.400284529,1.348373413,1.331170797,1.257526517,1.230973721,1.163812757,1.081476212,0.945944548,1.001083255,1.23969686,1.352592707,1.205504775
24-06-20,4.58988905,4.432853699,4.176968098,3.980260372,3.970798254,3.765966415,3.987030745,3.892217159,3.957104683,3.914547443,3.894522667,3.660232067,4.129083157,4.039801598,3.540861607,3.056583643,3.53125596,4.081951618,3.45824337,2.302041054,2.763744354,5.007526875,6.278724194,6.467100143,5.836961269,4.437864304,3.312554121,3.088128328,3.360411167,3.686436415
25-06-20,8.320088387,8.075892448,7.733911037,7.57942152,7.804009914,7.573194981,7.575706959,7.288977623,7.171271801,6.897482395,6.876547813,6.590885162,7.147663116,6.896018505,6.527564526,6.216145515,6.363794804,7.031879902,7.292208672,7.338632107,7.083119869,6.687852859,5.876638412,5.035172462,4.606021881,4.697067738,4.595650196,5.043560982,5.140204906,4.569097996
26-06-20,4.356704235,4.186113834,4.038064957,3.756464958,3.396160841,3.462590933,3.864217043,3.381942511,3.407872915,3.671225786,3.435599804,3.014815807,4.146681309,5.072719574,4.473610878,3.376085758,5.420476437,7.614670753,6.952188969,6.482857227,9.825691223,15.47272015,18.02639008,17.90695953,15.99776077,12.48635578,8.424016953,4.974466324,4.013063431,5.798090458
27-06-20,5.808738708,5.572385788,5.328907967,5.300965309,5.455377579,5.295184612,5.070422649,4.794550896,4.603553295,4.427378178,4.376540661,4.290579319,4.654882908,4.638799191,4.749062538,5.089185715,5.91233778,7.265471458,7.762479782,7.915411472,7.649328709,7.261766434,6.238272667,5.141025543,4.539780617,4.637372971,3.99384594,3.678819656,3.485355377,3.184183836
28-06-20,6.386487484,5.939814568,5.670418262,5.799859047,6.018344402,5.866525173,5.481441021,5.27588129,5.12046814,5.151360512,5.031080723,4.63435173,4.601008415,4.952518463,5.502724171,6.23817873,8.280978203,11.27957439,13.27556038,14.47000122,14.55167484,13.47042274,11.17412567,8.862836838,7.507590294,7.072235584,5.786619186,4.616070271,3.77905488,3.678437948
29-06-20,6.923741817,5.743496895,5.033034801,4.995222569,5.094283581,4.963531017,4.323563576,3.956227779,3.513093233,3.434484959,3.267171383,3.559115648,3.565637827,4.197732925,5.425810337,6.679505348,8.074608803,10.1170311,10.96404648,11.36081505,11.02244663,11.09321213,11.4988718,12.12890339,12.42288685,12.41107082,11.18880939,10.34606934,10.68053722,12.31315613
30-06-20,6.696667194,6.362764359,5.954456329,5.884198189,6.135341644,5.919926167,5.808708191,5.555931568,5.391407013,5.225027084,5.309220314,5.153521061,5.748874664,5.688266754,5.797749996,6.314662933,7.493406296,9.394927025,10.04754925,10.28461456,9.919463158,9.477063179,8.149657249,6.719949245,5.860073566,5.938960552,5.107452869,5.219775677,5.41635561,4.821877003
01-07-20,10.69371128,10.50281715,10.21236515,10.00094414,10.23995399,9.980610847,10.06543922,9.735530853,9.767798424,9.347175598,9.348077774,8.656765938,9.245018005,8.664620399,7.846888065,7.092283249,7.007964134,7.744526386,8.240445137,8.43986702,8.291296005,7.942153931,7.103325844,6.198083401,5.587983131,5.41036272,5.476525784,6.547818661,7.007826805,6.082928658
02-07-20,15.98959637,14.77584267,13.64592838,12.95494843,12.91309547,12.51233387,12.44120598,11.97046757,12.21078777,11.95131207,11.88548565,10.59989262,11.56800747,12.27587986,11.43961811,8.405851364,9.220870018,14.39792442,19.80751801,23.58014488,25.27126503,24.14284897,20.65328979,16.86133194,13.94505119,10.75302696,7.778414726,6.367071152,6.655822277,6.745999813
03-07-20,15.75646114,14.7136879,14.208498,13.92123318,13.52996445,13.07670403,13.29161358,13.34270954,14.32026577,14.65574646,14.30082417,11.6367178,11.58967876,12.4981184,11.08994675,8.206526756,14.80081177,23.7523365,30.08109856,33.5679512,35.46547318,35.45914841,32.95829391,29.16877174,24.99669266,18.93215561,12.76506233,7.625323772,6.616707325,9.074577332
04-07-20,29.98579407,25.89580917,22.84979248,21.37697029,20.2463398,19.5845356,20.01823425,20.25317574,21.84807205,22.96314049,22.36410332,17.13022041,17.29837227,22.17959023,22.6826992,21.08422089,34.5417099,52.48353195,66.86878204,75.92609406,80.01154327,77.90187073,69.47666168,59.45111465,50.28525543,38.27295685,25.40237236,12.93555069,9.282653809,15.44594097
05-07-20,26.04164696,22.82511139,20.77296066,19.84961891,19.73517418,19.35974693,19.70089149,19.30141068,19.78049469,20.17744827,19.70213699,15.83775234,17.74056053,21.87508774,20.06153488,11.6120472,21.96478081,39.65646744,54.83965302,65.92391968,72.80602264,74.98438263,70.43393707,62.39846802,53.3442955,40.79251862,27.01520729,14.23201942,7.606257915,13.16231251
06-07-20,22.8184185,21.33640671,20.47022629,19.88115883,19.83387756,19.55852127,19.61418724,18.54145241,18.03329849,17.38658524,16.79948425,14.99410915,17.10595131,19.25476265,17.73144341,13.2113018,17.97015953,27.40873146,35.57157516,43.32463455,50.89406967,57.35655212,57.9454689,53.7779007,46.71971893,35.31882858,23.43305206,12.82328796,7.428191662,13.12390804
07-07-20,19.8271122,18.40082932,17.37601471,16.56050491,15.76963806,15.2194109,15.06903934,14.33219433,14.99725151,15.08629131,14.40345287,12.35650158,13.73591995,15.6610918,13.76683331,8.892721176,15.48623657,25.01335716,30.39212608,32.80680847,34.67276001,36.82889175,36.65132904,34.18577576,29.89035034,22.50413895,14.93970203,7.981006622,5.566232681,10.06757641
08-07-20,14.62622356,13.98412991,13.5821352,13.22101116,13.08718777,12.8111248,12.3304863,11.78925705,12.00167656,11.52407265,11.18693542,9.901650429,10.03566933,10.05560112,9.094984055,6.761980057,7.822833538,12.00991058,16.41640663,19.18828583,20.10909271,18.3950367,15.09874916,11.86014843,9.645456314,7.392066956,5.326647282,3.99703145,4.09213829,4.254517078
09-07-20,15.28794003,15.19732094,15.27645683,15.07948589,15.02946472,14.87490749,14.39542484,13.6063242,13.55490971,12.74255371,12.28537273,11.23072052,11.33053017,10.68097401,9.335612297,7.603769302,7.573862553,8.29839325,8.623699188,8.367289543,9.692265511,11.83395481,13.27170944,13.13201046,11.74958992,8.771568298,6.007047176,3.535859346,3.253784418,5.024928093
24-07-20,15.09895229,14.47460556,14.152215,13.87861061,13.85346889,13.77876377,13.16243553,12.38870335,12.31162643,11.71201992,11.49465084,10.45713043,10.38792133,10.86319828,11.32744122,10.37384987,9.678404808,11.79626083,16.23249817,19.92004967,21.31198502,19.67219162,16.07429886,12.54200172,10.09335136,7.909866333,5.970645428,4.485390186,4.714936733,5.374892235
25-07-20,14.98106575,15.02532387,15.20534039,15.08612728,15.05543232,14.8122406,14.56927872,14.77415752,15.99917507,15.92361927,15.76389122,14.9979372,14.6715889,13.47665787,11.99200916,10.31279373,9.111130714,8.072734833,7.643127918,7.001790524,7.243514061,7.192489147,7.527884007,7.29955864,6.63408947,5.109025002,4.284462929,3.789256811,3.913468838,4.160548687
26-07-20,16.03627586,16.05450439,16.24580765,16.25874519,16.19486237,15.77366543,16.1820507,18.51696777,22.1860981,23.39527893,23.77626228,23.71846008,23.35817909,21.75053406,19.11918068,16.03046417,13.74445152,11.85585976,9.606243134,7.566334724,8.849703789,12.07292843,14.23778439,14.36222935,13.02521038,9.820606232,7.136309624,5.423044682,5.706017971,7.364992619
27-07-20,18.11796761,18.10637283,18.45698357,18.90365601,18.46381187,16.48954582,14.590662,16.38681793,21.18388748,23.49745941,24.41981506,25.27916718,24.82501793,23.24781418,20.57749748,17.44243813,14.98826313,13.0500927,11.53127193,10.90510845,11.29085445,11.28695869,10.90533829,9.933647156,8.639187813,6.63235569,5.872404575,6.398444653,7.938205242,8.675425529
