time,sub1,sub2,sub3,sub4,sub5,sub6,sub7,sub8,sub9,sub10,sub11,sub12,sub13,sub14,sub15
22-06-1951,1.982358068,5.936206818,5.053821121,2.495469521,0,2.978429317,0.252976077,8.055953085,0.687558455,9.846358776,0,0,0,0.026546255,0.062643463
23-06-1951,4.807131276,6.537601948,1.879818872,0.253020696,0.475750844,0.225715354,0.130196514,10.64584073,0.241343277,11.48382717,0,0,0.102639059,0.063779077,0.17204797
24-06-1951,2.391919598,7.930626392,2.669765554,0.162610811,0,0,0,11.10803681,0.00482704,11.16064203,0,0,0,0.046081577,0
25-06-1951,2.472295448,0.611239254,0.47914549,0,0,0,0.040979805,6.631365001,0,7.002332956,0,0,0.460561295,0,0
26-06-1951,1.131808072,1.647187948,1.006840409,0,0,0,0.07404843,9.197995011,0,1.960653372,0,0,0,0,0
27-06-1951,0.947420165,1.927808881,0.591199299,0,0,0,0,5.813768357,0,1.80983381,0,0,0,0,0
28-06-1951,0.232505023,2.211650133,0.653830171,0,0,0,0.050501694,6.12843468,0,4.158308819,0,0,0,0,0.150430861
29-06-1951,0.166435346,0,0,0,0,0,0,2.146841504,0.007925567,2.520840153,0,0.174846947,0,0.025391554,0.288159914
30-06-1951,2.235474691,0.284826308,0,0,0,0,0,3.467319489,0,1.09882772,0,0,0,0,0
01-07-1951,0.053847693,0.284826308,0.378212079,0,0,0,0,0.929384455,0.447872587,2.025290288,0,0,0,0,0
02-07-1951,0.565705363,0,1.187409397,0,3.428256671,0,1.358436336,5.597493708,0.125954707,1.434951603,0.384037882,0,0,0,0.013341919
03-07-1951,0.397932373,0,0.521454106,1.00948255,0,0.234812438,0.288843398,5.593241215,2.213320781,1.567590684,0,0,1.71130991,0.246416083,0
04-07-1951,0,0,1.739287615,0,0.330768714,0,0.213270153,3.911225468,1.997307043,5.805277973,0,1.190934062,6.28582449,5.711637974,0.753246949
05-07-1951,0.581229687,0,1.809091091,0.628922003,0,0,0.073628704,3.808165103,9.126395158,1.378921114,6.184936523,1.171274126,2.331347687,0.733374555,0.928936621
06-07-1951,4.619752586,0.109548591,3.727378463,38.61495543,10.42596801,32.21375275,4.117915407,9.372774601,10.94965832,16.9711321,0,3.091044426,7.996138155,1.569651333,5.04285567
07-07-1951,0.421016101,0.534457028,2.063859023,3.31886936,24.03301311,9.651557922,2.012302766,7.492933009,11.89656397,10.60172102,0.727304637,1.574025214,7.158161905,3.719909798,2.097803002
08-07-1951,0.249570616,0.109548591,3.357904944,3.62397362,2.599450111,0.409374326,6.766295115,0.582076706,7.274984402,2.210414574,1.20374167,18.61667565,31.93836279,3.634774855,2.714729204
09-07-1951,0.188503072,0.45014292,0.276828215,1.561627738,0,0,0,7.026476324,2.362605714,0.73990782,0,0,2.239917119,0.196698776,0.507412056
10-07-1951,0,0,4.676971396,0.402974188,0,0,0.051989575,2.37416625,1.021580305,4.950393304,0,0,0,0.114241387,0.77340535
