Date,Evapotranspiration,,
20130701,12530,,
20130702,11270,,
20130703,8745,,
20130704,7342,,
20130705,22180,,
20130706,36030,,
20130707,25870,,
20130708,26460,,
20130709,45670,,
20130710,20050,,
20130711,35580,,
20130712,37190,,
20130713,30230,,
20130714,29020,,
20130715,31510,,
20130716,18880,,
20130717,27690,,
20130718,29940,,
20130719,59650,,
20130720,19210,,
20130721,37060,,
20130722,49140,,
20130723,31880,,
20130724,13580,,
20130725,39390,,
20130726,48180,,
20130727,61170,,
20130728,40670,,
20130729,29830,,
20130730,67130,,
20130731,38460,,
20130801,83330,,
20130802,12540,,
20130803,70180,,
20130804,88570,,
20130805,97510,,
20130806,50100,,
20130807,64260,,
20130808,76990,,
20130809,96370,,
20130810,271700,,
20130811,60200,,
20130812,67990,,
20130813,100100,,
20130814,67120,,
20130815,88980,,
20130816,142700,,
20130817,73930,,
20130818,86000,,
20130819,71530,,
20130820,96840,,
20130821,56040,,
20130822,51570,,
20130823,71810,,
20130824,89730,,
20130825,45100,,
20130826,32730,,
20130827,40140,,
20130828,192500,,
20130829,109600,,
20130830,55630,,
20130831,46640,,
20130901,83760,,
20130902,43730,,
20130903,74990,,
20130904,91330,,
20130905,34640,,
20130906,39930,,
20130907,73250,,
20130908,127500,,
20130909,62540,,
20130910,98730,,
20130911,63750,,
20130912,77700,,
20130913,100900,,
20130914,63900,,
20130915,63450,,
20130916,87970,,
20130917,78930,,
20130918,35900,,
20130919,56830,,
20130920,77610,,
20130921,105600,,
20130922,76790,,
20130923,198100,,
20130924,68330,,
20130925,64710,,
20130926,100900,,
20130927,101700,,
20130928,86530,,
20130929,214400,,
20130930,56050,,
20131001,66440,,
20131002,95660,,
20131003,62010,,
20131004,59710,,
20131005,156400,,
20131006,38900,,
20131007,47020,,
20131008,56170,,
20131009,72760,,
20131010,64150,,
20131011,130700,,
20131012,56530,,
20131013,115900,,
20131014,68670,,
20131015,57680,,
20131016,33780,,
20131017,24210,,
20131018,50630,,
20131019,28790,,
20131020,63900,,
20131021,124500,,
20131022,68520,,
20131023,56600,,
20131024,49140,,
20131025,38740,,
20131026,61800,,
20131027,28360,,
20131028,109600,,
20131029,58100,,
20131030,112100,,
20131031,118800,,
20131101,93450,,
20131102,41700,,
20131103,29130,,
20131104,36080,,
20131105,30850,,
20131106,84080,,
20131107,70360,,
20131108,68810,,
20131109,73320,,
20131110,73100,,
20131111,59110,,
20131112,57880,,
20131113,25210,,
20131114,63260,,
20131115,53780,,
20131116,52030,,
20131117,23020,,
20131118,50580,,
20131119,23940,,
20131120,49940,,
20131121,50610,,
20131122,48720,,
20131123,47710,,
20131124,19460,,
20131125,17410,,
20131126,45660,,
20131127,20280,,
20131128,38140,,
20131129,47890,,
20131130,38820,,
20131201,34050,,
20131202,15140,,
20131203,15520,,
20131204,36390,,
20131205,29580,,
20131206,32770,,
20131207,27330,,
20131208,25940,,
20131209,29560,,
20131210,22610,,
20131211,23550,,
20131212,20560,,
20131213,21350,,
20131214,21830,,
20131215,14370,,
20131216,11930,,
20131217,11830,,
20131218,8524,,
20131219,6522,,
20131220,3497,,
20131221,1507,,
20131222,0,,
20131223,0,,
20131224,0,,
20131225,0,,
20131226,0,,
20131227,0,,
20131228,0,,
20131229,0,,
20131230,0,,
20131231,0,,
20140101,0,,
20140102,0,,
20140103,0,,
20140104,0,,
20140105,0,,
20140106,0,,
20140107,0,,
20140108,0,,
20140109,0,,
20140110,0,,
20140111,0,,
20140112,0,,
20140113,0,,
20140114,0,,
20140115,0,,
20140116,0,,
20140117,0,,
20140118,0,,
20140119,0,,
20140120,0,,
20140121,0,,
20140122,0,,
20140123,0,,
20140124,0,,
20140125,0,,
20140126,0,,
20140127,0,,
20140128,0,,
20140129,0,,
20140130,0,,
20140131,0,,
20140201,0,,
20140202,0,,
20140203,0,,
20140204,0,,
20140205,0,,
20140206,0,,
20140207,0,,
20140208,0,,
20140209,0,,
20140210,0,,
20140211,0,,
20140212,0,,
20140213,0,,
20140214,0,,
20140215,0,,
20140216,0,,
20140217,0,,
20140218,0,,
20140219,0,,
20140220,0,,
20140221,0,,
20140222,0,,
20140223,0,,
20140224,0,,
20140225,0,,
20140226,0,,
20140227,0,,
20140228,0,,
20140301,0,,
20140302,0,,
20140303,0,,
20140304,0,,
20140305,0,,
20140306,0,,
20140307,0,,
20140308,0,,
20140309,0,,
20140310,0,,
20140311,0,,
20140312,0,,
20140313,0,,
20140314,0,,
20140315,0,,
20140316,0,,
20140317,0,,
20140318,0,,
20140319,0,,
20140320,0,,
20140321,0,,
20140322,0,,
20140323,0,,
20140324,0,,
20140325,0,,
20140326,0,,
20140327,0,,
20140328,0,,
20140329,0,,
20140330,0,,
20140331,0,,
20140401,0,,
20140402,0,,
20140403,0,,
20140404,0,,
20140405,0,,
20140406,0,,
20140407,0,,
20140408,0,,
20140409,0,,
20140410,0,,
20140411,0,,
20140412,0,,
20140413,0,,
20140414,0,,
20140415,0,,
20140416,0,,
20140417,0,,
20140418,0,,
20140419,0,,
20140420,6504,,
20140421,16750,,
20140422,16150,,
20140423,18280,,
20140424,18460,,
20140425,14700,,
20140426,2526,,
20140427,4704,,
20140428,5878,,
20140429,14020,,
20140430,3404,,
20140501,5637,,
20140502,5779,,
20140503,6185,,
20140504,3048,,
20140505,24990,,
20140506,7208,,
20140507,8999,,
20140508,5208,,
20140509,5789,,
20140510,23910,,
20140511,2047,,
20140512,49220,,
